Property Character Location Other,PropertyType,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,GUID
"Mirror Master 
(Silver Age Sam Scudder)",Character,"Flash
(2018)","Flash #105
""The Master of Mirrors""",Feb-59,,John Broome,writer,None,,,,8461EE7A-BECC-9B40-8D22-4D5511925D94
,Character,,,,,Carmine Infantino,"pencils, cover pencils",Settlement,,,,976FB1B2-64B2-D547-BAD0-9C203EEEFF6C
,Character,,,,,Joe Giella,"inks, cover inks",None,,,,C7490899-90ED-D74B-B6C0-55E6D8FB49C1
"Mirror Master
(Evan McCulloch)",Character,,Animal Man #8,Feb-89,,Grant Morrison,writer,WFH,,,,829C3664-4B87-5140-A516-83DAA0CE1103
,Character,,,,,Chas Truog,"pencils, cover pencils",WFH,,,,B00E4DA6-C772-1B48-8E62-6CCA90D60C0E
,Character,,,,,Doug Hazlewood,"inks, cover inks",WFH,,,,F86D298F-F141-894E-8438-4223F30B9ECC
,Character,,,,,Tatjana Wood,color,N/A,,,,7A9F9D4F-277B-704E-9A27-F904EDC1D733
"Mirror Master
(New 52 Sam Scudder)",Character,"Flash
(2018)",Flash #12,Oct-12,,Francis J. Manapul,"writer, pencils, inks, cover",WFH,,,,449E7079-063C-EE4D-AE8B-EE49EDF1CF68
,Character,,,,,Brian Buccellato,"writer, color",WFH,,,,8B94B028-4641-7D42-B776-DE1CEF345E81
"Misfit
(Charlotte ""Charlie"" Gage-Radcliffe)",Character,Birds of Prey,"as Batgirl:
Birds of Prey #96",Sep-06,N,"Tamra L. James
(Gail Simone)",writer,WFH,,,,B1F67401-1A0F-A347-A467-305C4644D8E6
,Character,,,,,Paolo Siqueira,pencils,WFH; Exclusive,,,,F536E8F1-A73D-164C-8F61-7123F7CA294A
,Character,,,,,Robin Riggs,inks,WFH,,,,D488B1C8-7BF7-E54C-8A40-CD785B12E325
,Character,,,,,Terry Dodson,cover pencils,WFH,,,,509E6379-EEDE-DA4A-85F7-A133FA435E85
,Character,,,,,Rachel Dodson,cover inks,WFH,,,,539F1330-8AEB-ED40-A53C-FC9689776B33
,Character,,,,,Hi-Fi Design,color,N/A,,,,B10D07D8-F42A-0342-B21D-8209BAD0B5E5
,Character,,"as Misfit:
Birds of Prey #101",Feb-07,N,"Tamra L. James
(Gail Simone)",writer,WFH; Exclusive,,,,2A928EA1-47BF-3F49-9C54-7C77A7E60BAA
,Character,,,,,Nicola Scott,pencils,WFH,,,,F9C778C0-393C-204E-BC87-6E0380518771
,Character,,,,,Doug Hazlewood,inks,WFH,,,,822A0E88-950B-BC4D-A50C-FF08026C5621
,Character,,,,,Stephane Roux,cover,WFH,,,,C90A8F99-053F-BC45-84EE-60163C516D53
,Character,,,,,Hi-Fi Design,color,N/A,,,,5FD0929F-04CD-6247-B249-833DF792A240
"Miss Martian
(M'gann Morzz; Megan Morse)",Character,Supergirl 203,Teen Titans #37,Aug-06,N,Geoff Johns,writer,Exclusive; WFH,,,,55108272-8B3C-524C-89A9-8F97255DC205
,Character,,,,,Tony S. Daniel,"pencils, cover",Exclusive; WFH,,,,A967D9C7-A0B0-944C-8C54-882972DC6FF0
,Character,,,,,Kevin Conrad,inks,WFH,,,,FF7EA401-7BE7-784B-8DAA-2B2AEF56F5D7
,Character,,,,,Norman Rapmund,inks,Exclusive; WFH,,,,BB6E6EA2-5A98-3F41-A220-84D665E3578B
,Character,,,,,Tanya Horie,color,Exclusive; WFH,,,,21C0A587-2D84-4E44-BB64-F306B2A6D0F4
,Character,,,,,Richard Horie,color,Exclusive,,,,D1033F96-957B-9047-AD84-A99DF3F49AB2
Miss Misery,Character,"Point Blank
Sleeper",Sleeper #2,Apr-03,N,Ed Brubaker,writer,WFH,,,,3E573167-B1B3-4843-8809-121A00877742
,Character,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,8FA67319-AAA4-4242-A69E-630933AC2F4A
,Character,,,,,Tony Avina,color,N/A,,,,7460715E-693C-3141-ABA2-1ABD93BB3255
,Character,,,,,Randy Mayor,color,N/A,,,,C9B80570-5A30-A946-90DA-972B577DA796
"The Mist
(Kyle Nimbus)",Character,"DC Creators Series
(Machinima)","Adventure Comics #67
""The Menace of the Invisible Raiders!""",Oct-41,N,Alfred Bester,writer,None,,Deceased,,41441611-6292-544F-B476-D04F2126F488
,Character,,,,,Jack Burnley,"pencils, inks, cover",None,,Deceased,,9E562283-04D7-8C46-BAE2-A69295065605
"The Mist
(Nash)",Character,"DC Creators Series
(Machinima)",Starman #0,Oct-94,N,James Robinson,writer,WFH,,,,70FFEE7F-F860-C843-BB6E-345559E63E0D
,Character,,,,,Tony Harris,"pencils, cover",WFH,,,,BB8AA557-6D9A-9C4D-8676-DD71B9EFA432
,Character,,,,,Wade Von Grawbadger,inks,WFH,,,,30BAC632-0875-6144-90C1-9680A88EA0E7
,Character,,,,,Gregory Wright,color,N/A,,,,246BEB08-A8DA-384F-B7E4-2A0C64AB7C39
Mister Mind,Character,Shazam,"in Fawcett Comics:
Captain Marvel Adventures #22
""The Pearl of Peril""",Aug-42,N,Otto Binder,writer,None,,See also: Fawcett Purchase Agreements,,8BF1F271-65CF-CB4D-B5DE-B1B4635B3225
,Character,,,,,"Charles Clarence ""C.C."" Beck","pencils, inks, cover pencils",None,,,,7D525D99-F151-A34E-90B0-466EE451F635
,Character,,,,,Pete Costanza,cover inks,None,,,,04D64336-C473-0F49-AD18-DC36C2295D56
,Character,,"in DC Comics:
Shazam #2
""The Astonishing Arch-Enemy""",Apr-73,N,Dennis O'Neil,writer,Creator Recognition,,,,815A0053-BD65-9E47-A79E-C2DCF8004BAE
,Character,,,,,"Charles Clarence ""C.C."" Beck","pencils, inks, cover pencils",None,,Deceased,,386F6139-F1E4-054F-946F-F48FCFCB6F6A
,Character,,,,,Jack Adler,cover inks,None,,Deceased,,3302315C-01F2-4548-9369-C31637DFB009
"Mister Miracle
(Thaddeus Brown)",Character,,Mister Miracle #1,Mar-71,N,Jack Kirby,"writer, pencils, cover pencils",Fourth World Agreement,1982,Deceased,,509CF45C-F77E-E747-A4F7-05F4E7A515FF
,Character,,,,,Vince Colletta,"inks, cover inks",None,,Deceased,,F4E09BBE-4094-3842-8840-0AFD3215989C
"Mister Miracle
(Scott Free)",Character,,Mister Miracle #1,Mar-71,Y,Jack Kirby,"writer, pencils, cover pencils",Fourth World Agreement,1982,Deceased,,6BB3B257-697E-734E-848F-CCDDB4F810CE
,Character,,,,,Vince Colletta,"inks, cover inks",None,,Deceased,,5EC0E1DC-0629-DE4D-9554-AFAC3F078758
"Mister Miracle
(Shilo Norman)",Character,,Mister Miracle #15,Aug-73,N,Jack Kirby,"writer, pencils, cover pencils",Fourth World Agreement,1982,Deceased,,112603A4-CFB6-4E43-88ED-04BD7DD3E166
,Character,,,,,Mike Royer,"inks, cover inks",None,,,,E8F1ED52-36C3-624C-A351-089B519B0579
Mister Mxyzptlk,Character,Powerless 102,"Superman #30
""The Mysterious Mr. Mxyztplk!""",Sep-44,N,"Jerome ""Jerry"" Siegel",writer,Settlement,,Deceased Settlement is with heirs.,,3D1B4966-35CD-DE4D-8D23-444C2918BE18
,Character,,,,,Joseph Shuster,pencils,Settlement,,Deceased,,C49E383D-E603-504E-A5C0-70DC9C641E63
,Character,,,,,Ira Yarbrough,"pencils, inks",None,,,,DF02ADE9-1A29-784B-BE22-E6EC4E6CFD60
,Character,,,,,Jack Burnley,cover,None,,,,AF30B58F-B4B2-0A4B-9497-68BB5506A086
"Mister Roulette
(Rigger Sims)",Character,,"Batman #75
""Mr. Roulette's Greatest Gamble""",Feb-53,N,David Vern Reed,writer,None,,Deceased,Cleared by Jay for Creative for use as Featured Character in Space Cabbie Series 03/23/21,66473722-8441-4444-ADA9-9D19982786FB
,Character,,,,,Dick Sprang,pencils,None,,"Deceased
Dick Sprang’s beneficiary is Yavapai Symphony Association. We’ve been paying Yavapai Symphony Association since 2000 for Dick Sprang’s royalties.",,000C4D4B-FC43-D547-BB62-7EB439BEF9FE
,Character,,,,,Charles Paris,inks,None,,Deceased,,A02FD3CD-5956-AE4F-AF63-C3C12E27BE73
,Character,,,,,J. Winslow Mortimer,cover,None,,Deceased,,96164397-7E1D-204D-A9AC-26215D562C0A
Mister Tawky Tawny,Character,Shazam,"in Fawcett Comics:
Captain Marvel Adventures #79
""The Talking Tiger""",Dec-47,N,Otto Binder,writer,None,,See also: Fawcett Purchase Agreements,,E5778998-7214-3944-8DDB-FB7B58CEF4F2
,Character,,,,,"Charles Clarence ""C.C."" Beck","pencils, inks, cover",None,,,,DFC94756-3EF1-AD44-BBA3-2F78FEF35334
,Character,,"in DC Comics:
Shazam! #1",Feb-73,N,Dennis O'Neil,writer,Creator Recognition,,,,85D7D0B8-758F-114B-9B0F-45F525359286
,Character,,,,,"Charles Clarence ""C.C."" Beck","pencils, inks, cover",None,,Deceased,,3EDA055D-8BBA-C14D-A8D4-B9330CB67EE0
Mister Toad,Character,"Gotham 308
*character used in show is ""not intended to be"" this character",Batman & Robin #1,Aug-09,N,Grant Morrison,writer,WFH; Exclusive,2011,,,B9373CC6-13FE-784B-B0D3-353FAE92F1BF
,Character,,,,,"Vincent Deighan
(Frank Quitely)","pencils, inks, cover",WFH,2011,,,9A498746-8F75-8D48-8833-2AFE1F4CB104
,Character,,,,,Alex Sinclair,color,Exclusive,,,,C9F0D689-5636-7842-89D6-AB55CA13FF06
Mitch Hoberman,Character,,"Action Comics Weekly #601
""Listening to the Mockingbird""",1988,N,Martin Pasko,writer,WFH,,,,57067D62-EFB4-0548-9457-A78A5A5350B7
,Character,,,,,Dan Spiegle,"pencils, inks",WFH,,,,3002ED91-9C6B-0A42-9734-8F335B06F845
,Character,,,,,Dave Gibbons,cover,WFH,,,,8E335A87-5ABF-DD43-8E75-0CE6309DCEF7
,Character,,,,,Carl Gafford,color,N/A,,,,F6748A74-D794-0B4E-A570-11B7C5CA0E8B
"Mnemosyne
(Titan)",Character,,New Teen Titans #11,Sep-81,N,Marv Wolfman,writer,Exclusive,,,,218924B0-97D7-3B44-B0BB-A140DBCD1423
,Character,,,,,George Perez,"pencils, cover",Exclusive,,,,E6E63D3C-817E-4D4B-A9E2-E2FB9DE5529A
,Character,,,,,Romeo Tanghal,inks,Exclusive,,,,FB4E2DC8-399D-BF4E-A0CC-EC5312C91F3C
,Character,,,,,Adrienne Roy,color,N/A,,,,1D8152F4-25FF-EC43-B5FC-6E47889E82C5
"Mnemosyne
(Amazon)",Character,"Wonder Woman
(2017)",Wonder Woman #10,Nov-87,N,George Perez,"plot, pencils, cover",Continuity,,,,2B12FEC2-874A-7641-A13D-10219C8E6960
,Character,,,,,Len Wein,script,WFH,,Deceased,,A8D121AC-30D9-A94F-97A5-67E06BEF9DBA
,Character,,,,,Bruce Patterson,inks,WFH,,,,18CB5367-7BFA-2B44-9907-7D2E90C4458A
,Character,,,,,Carl Gafford,color,N/A,,,,BC0A3AA4-DA0F-7D48-832F-CDAB24A16DEA
"Mob Rule
(Manuel Lago)",Character,Flash 501,Flash #1,Nov-11,N,Francis Manapul,"writer, pencils, inks, cover",WFH,2011,,,4A5D8B27-323A-334C-8812-4C18A1AD60F9
,Character,,,,,Brian Buccellato,"writer, color",WFH,2011,,,C6B742A1-6FF6-774E-94EC-3D6378C94C6B
"Mockingbird
(August Durant)",Character,,"as August Durant:
Secret Six #1",Apr-68,Y,E. Nelson Bridwell,writer,N/A,,"Bridwell was an employee of DC at this time.
Deceased",,99E7AE7A-2B3B-5540-B580-45DE200A22A6
,Character,,,,,Frank Springer,"pencils, inks, cover",None,,Deceased,,CBA783BB-C6C0-B243-977B-4D52676630BD
,Character,,"as Mockingbird:
Action Comics Weekly #601
""Listening to the Mockingbird""",1988,N,Martin Pasko,writer,WFH,,,,A9715C81-55F9-FF49-9509-0AC8C3D3489B
,Character,,,,,Dan Spiegle,"pencils, inks",WFH,,,,8D75A6D6-6860-4642-94CD-EEA1784D220B
,Character,,,,,Dave Gibbons,cover,WFH,,,,20DC7D40-D6B7-694A-94F4-E63920E09D71
,Character,,,,,Carl Gafford,color,N/A,,,,2AE2EF06-2F34-264B-B606-105D74125203
"Mockingbird
(Carlo Di Rienzi)",Character,,"as Carlo DiRienzi:
Secret Six #1",Apr-68,Y,E. Nelson Bridwell,writer,N/A,,"Bridwell was an employee of DC at this time.
Deceased",,250C0697-1059-F343-9E7D-9B08E3D70DC7
,Character,,,,,Frank Springer,"pencils, inks, cover",None,,Deceased,,07480C41-050F-BA40-BCD8-77CA4C23626D
,Character,,"as Mockingbird:
Action Comics Weekly #628
""Remains To Be Seen""",1988,N,Martin Pasko,writer,None,,,,33DD9872-4517-4D4A-9B13-CEEB5BE410AE
,Character,,,,,Frank Springer,pencils,WFH,,,,A625325C-39DB-6445-8B08-D1BA79BB4AB0
,Character,,,,,Frank McLaughlin,inks,None,,,,E7DB9686-B116-6141-A260-D6647BBD59A1
,Character,,,,,George Pratt,cover,None,,,,6ED2A0E1-2940-3D46-BD3B-117661F250C5
,Character,,,,,Carl Gafford,color,N/A,,,,5008BD75-C0D0-3D46-835B-376276FEE1EF
Moira Queen,Character,,Green Arrow Annual #7,Sep-95,N,Chuck Dixon,writer,WFH,,Note that there is some dispute over the first appearance see DCBL 268495,,0DEB89E7-C9ED-F34D-B3E6-8D38B4CAA6B5
,Character,,,,,Rick Burchett,pencils,WFH,,,,CDE0E26F-03B7-5947-9BC9-23AA1C5B5FBE
,Character,,,,,Chris Renaud,pencils,WFH,,,,D329A9E6-69AF-0748-8590-F86FB689BE60
,Character,,,,,Eduardo Barreto,inks,WFH,,,,F12E056B-6204-1B49-A2EF-B7ED6684B461
,Character,,,,,Gerry Fernandez,inks,WFH,,,,E02C85E0-4071-A145-AD5D-E01B82E52690
,Character,,"Green Arrow: Secret Files and Origins #1
“The Mantle”",Oct-02,N,Scott McCullar,writer,WFH,,,,F477F8E7-E827-5F45-9980-1149976A91AA
,Character,,,,,Rick Burchett,pencils,WFH,,,,D94466FE-533F-DF4F-B777-E9493D2AC1ED
,Character,,,,,Dan Davis,inks,WFH,,,,9F82C37E-C836-2B43-82F7-BAB522E39D24
"Mon-El
(Lar Gand)",Character,Supergirl 202,"Superboy #89
""Superboy's Big Brother""",Jun-61,Y,Robert Bernstein,writer,None,,Deceased,,3D4BE403-474F-DE41-BC24-6D6516DE8AF2
,Character,,,,,George Papp,"pencils, inks",None,,Deceased,,634C6396-7DC5-F54F-9A51-862229A08A5B
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,4E479D6B-9E56-7445-82C6-7F7D632000F7
,Character,,,,,Stan Kaye,cover inks,None,,Deceased,,76E964A6-E138-A94D-AD6E-DC3C1156BD62
Mongal,Character,Suicide Squad 2,"as unnamed infant:
Showcase '95 #8
""Exit to Eden Part 2""",Sep-95,N,Peter J. Tomasi,writer,WFH,,,,EDBBB280-207F-A644-BA62-F6144ADBA404
,Character,,,,,Scot Eaton,pencils,WFH,,,,8B72B2BC-C33D-DA40-9EBD-B0878117450C
,Character,,,,,Pam Eklund,inks,WFH,,,,7C986EC8-C1B1-6942-BE86-6736D8C14267
,Character,,,,,Dan Jurgens,cover pencils,WFH,,,,679EE047-F994-BA4B-AFD0-F4AA3E92B5F3
,Character,,,,,Terry Austin,cover inks,WFH,,,,13B8C6F2-B16C-BA4B-963C-82EF3F55F169
,Character,,,,,David Grafe,color,N/A,,,,001719BB-1B6B-4749-8098-4C9BF2525017
,Character,,"as Mongal:
Superman #170",Jul-01,N,Jeph Loeb,writer,Continuity Writer,,,,1275DAAD-2CDF-1049-B0CF-756CFEF457FD
,Character,,,,,Dale Keown,pencils,WFH,,,,595AAB23-6744-B64F-BE1C-0DD289D37C3E
,Character,,,,,Cam Smith,"inks, cover inks",WFH,,,,8AD83DCE-2B48-EC42-985C-C514B27BC8C3
,Character,,,,,Ed McGuinness,cover pencils,Continuity Artist,,,,01B80B15-308A-F34A-8875-28F6D9E3997D
,Character,,,,,Richard Horie,color,N/A,,,,C1117434-B70E-1B48-844D-2271F4C28596
,Character,,,,,Tanya Horie,color,N/A,,,,564A7177-48CB-B849-8218-F1F4E346094C
Mongul,Character,,"DC Comics Presents #27
""The Key That Unlocked Chaos""",Nov-80,Y,Len Wein,writer,None,1995,Deceased,,528C1EF6-6E41-3A4E-9418-51483FB6883E
,Character,,,,,Jim Starlin,"pencils, cover",None,1996,,,B7E2C60C-EA06-0847-B1F5-2E1F99680856
,Character,,,,,Dick Giordano,inks,Exclusive,,"Giordano may have been an employee of DC at this time.
Deceased",,836AD2ED-BF7F-8246-8BA8-7227F498BB75
,Character,,,,,Jerry Serpe,color,N/A,,,,6EBC4BC5-8785-D94F-BC59-5341B8A4F2B4
The Monitor,Character,Arrow 709,"New Teen Titans #21
""Beware the Wrath of… Brother Blood""",Jul-82,N,Marv Wolfman,writer,Exclusive,2004,,,F119738F-18D1-804C-9A31-02E21792A91D
,Character,,,,,George Perez,"pencils, cover",Exclusive,2004,,,7CE1E3A8-D7E0-CA4F-84FD-A95EBFB5E87E
,Character,,,,,Romeo Tanghal,inks,Exclusive,,,,629F16DF-7910-6447-85FD-7F79D61412AB
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,CCF7CF18-A0DF-694A-85FF-2BAAA70D3F48
The Morae,Character,,,,N,,writer,,,,,E61DB806-11FB-0743-AF6E-3444CC546286
,Character,,,,,,"pencils, cover",,,,,FD6C1595-C1F2-4540-922D-1AE4F19BCB53
,Character,,,,,,inks,,,,,3846D252-C62E-A349-988B-5D387F9A955B
,Character,,,,,,color,,,Deceased,,264D9736-614B-154B-80A4-6C3F02A81873
"Morgan Edge
(Morgan Edelstein)",Character,Supergirl 301,"Superman's Pal, Jimmy Olsen #133",Oct-70,N,Jack Kirby,"writer, pencils, cover pencils",None,,Deceased,,17869FEA-FC5D-2047-8095-2D8A60E2A5A9
,Character,,,,,Vince Colletta,"writer, inks, cover inks",None,,,,336563E6-DD12-404A-86DE-6A8C61FF4A76
Mother,Character,Gotham 422,"Batman Day Special #1
""The End of the Beginning""
*preview pages for Batman & Robin Eternal #1*",Oct-15,N,Scott Snyder,writer,Exclusive,,,,402C2C1F-05FD-7648-A403-C87B55471372
,Character,,,,,James Tynion IV,writer,WFH,2017,,,E8DF4170-4AB8-6649-9ABA-4082FCD03BA8
,Character,,,,,Tony S. Daniel,"pencils, cover pencils",WFH,,Character equity agreement sent; not yet signed,,FCE77BCF-865B-3342-B708-A36A78D0EC95
,Character,,,,,Sandu Florea,"inks, cover inks",WFH,,,,CA13C026-E9F5-3F42-8D1A-02C1EAFB581E
,Character,,,,,Tomeu Morey,color,WFH,,,,6066B41A-8528-7942-A7AF-707AEB675B5B
Mother Boxes,Property,"Justice League
(2017)",Forever People #1,Feb-71,N,Jack Kirby,"writer, pencils, cover pencils",Fourth World Agreement,1982,Deceased,,09D0CB5E-E0FE-D140-B6BF-ED1A828AE950
,Property,,,,,Vince Colletta,"inks, cover inks",None,,,,BA13D49F-5FB4-664D-9E03-7ACAF3D9AC97
"Mother Mayhem
(May Bennett)",Character,,"New Teen Titans #21
""Beware the Wrath of… Brother Blood""",Jul-82,N,Marv Wolfman,writer,Exclusive,1983,,,EFD36A47-A670-A743-8C60-46F42948C58E
,Character,,,,,George Perez,"pencils, cover",Exclusive,1983,,,E1E6B635-4578-CE48-8E37-8A0213F36528
,Character,,,,,Romeo Tanghal,inks,Exclusive,,,,4908553B-F39F-F04B-9D93-47940F922E06
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,46DF44F8-A37D-CE45-A4BB-5DEC8B9909A2
"Mr. Banjo
(Kurt Filpots)",Character,Plastic Man,"in Fawcett Comics:
Captain Marvel Adventures #8
""The Amazing Case of the Clue in Music""",Mar-42,N,"Charles Clarence ""C.C."" Beck","pencils, inks, cover pencils",None,,See also: Fawcett Purchase Agreements,,3235B232-4820-8845-861E-61FFBD4A2250
,Character,,,,,Pete Costanza,cover inks,None,,,,4BA05D37-1167-514F-AA14-B491AC13676B
,Character,,"in DC Comics:
DC Comics Presents #34",Jun-81,N,Roy Thomas,writer,Exclusive,,,,6C87E5CE-7405-DC48-9D7E-1DBB9BBEE5D4
,Character,,,,,Rich F. Buckler,"pencils, cover pencils",Exclusive,,,,A700CA95-35DE-DD4C-A461-F11BE3F38B13
,Character,,,,,Dick Giordano,"inks, cover inks",N/A,,"Giordano may have been an employee of DC at this time.
Deceased",,B173F6A4-38E3-6F46-9F6E-2826CB247DB3
,Character,,,,,Gene D'Angelo,color,N/A,,,,77782B4F-7486-2747-B0A3-9CBC0D8CD8B8
Mr. Barker,Character,"Point Blank
Sleeper",Sleeper: Season 2 #6,Jan-05,N,Ed Brubaker,writer,WFH,,,,46C06B42-3ADB-6242-B117-187021BBBB30
,Character,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,9E9E6196-9F93-7244-B5FA-D7AB1774F821
,Character,,,,,Carrie Strachan,color,N/A,,,,AFFFD43B-5EED-F04B-AC33-4C5AB4104F03
"Mr. Freeze
(Mr. Zero; Victor Fries)",Character,Lego Batman,"as Mr. Zero:
Batman #121
""The Ice Crimes of Mr. Zero""",Feb-59,Y,Dave Wood,writer,None,,Deceased,,12E4EA2F-D303-0E41-A705-ACBBC54A4F98
,Character,,,,,Sheldon Moldoff,pencils,None,,"Deceased
Per the library and Wayne Smith (Corp. Legal), please check to see if Bob Kane should also be included in credits.",,9808DE56-750E-5B4B-A767-23D437F38B79
,Character,,,,,Charles Paris,inks,None,,Deceased,,0A891934-474A-E14A-99E7-4072B90FDE7A
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,80E2A53B-C3E7-1E4D-A5C1-A38932B466FF
,Character,,,,,Stan Kaye,cover inks,None,,Deceased,,9EE3DECA-E60C-CA46-94B9-7A37AB89ABB1
,Character,,"as Mr. Freeze:
Detective Comics #373
""Mr. Freeze's Chilling Deathtrap""",Mar-68,Y,Gardner F. Fox,writer,Creator Recognition,2009,Deceased Creator recognition agreement with is with heirs.,,6F8031C8-6A17-4746-86E8-0D18826E531A
,Character,,,,,Bob Kane,pencils,Services Agreements,,Deceased,,BC414509-7BD5-4A4E-A671-4FC65F8AF252
,Character,,,,,Chic Stone,pencils,None,,"According to the GCD, although Kane was paid for this work, the pencil art in this issue was done by Stone.",,6222132A-5082-1E42-8C70-A1742021FAF6
,Character,,,,,Sid Greene,inks,None,,Deceased,,CEBABE36-FA84-3B4A-8F0E-9AB86C65D537
,Character,,,,,Irv Novick,cover,N/A,,"Novick was an employee of DC from 5/9/67 - 12/28/84.
Deceased",,466AC840-E676-044D-953A-1909CAE17A86
Mr. Majestic,Character,"Point Blank
Sleeper",WildC.A.T.S.: Covert Action Teams #11,Jun-94,N,Chris Claremont,writer,None,,See also: WildStorm Asset Purchase Agreement,,B1B2BD2D-5A9D-3740-A772-B5D6D7AAA7DD
,Character,,,,,H.K. Proeger,writer,None,,,,721FFFD5-6B43-CE49-A30B-7A4CECEEB1B6
,Character,,,,,Ryan Benjamin,pencils,None,,,,4C204411-C100-EF4D-ABF8-7BD30288389D
,Character,,,,,Jim Lee,pencils,WildStorm Employment Agreement,,,,C4F97388-CF24-6B45-8779-8FFB41BC01BD
,Character,,,,,Tom McWeeney,inks,None,,,,23AED18C-A87D-9145-8937-5764C866351C
,Character,,,,,Scott Williams,inks,WFH,,,,CDFE1E67-2E31-2F46-AADF-E4D8F92B6BA1
,Character,,,,,Joe Chiodo,color,N/A,,,,236511C4-0B69-5E42-81BA-7B9DDF660A80
"Mr. Terrific
(Terry Sloane)",Character,Arrow 403,"Sensation Comics #1
""Who Is Mr. Terrific?""",Jan-42,N,Charles Reizenstein,writer,Writer,,Deceased,,805A6FCE-8ED9-E048-8F8E-562CE3D82639
,Character,,,,,Harold Wilson Sharp,"pencils, inks",Artist,,Deceased,,F3CC0B82-7623-3246-AFA9-F8005FB3F645
,Character,,,,,Harry G. Peter,cover,None,,Deceased,,76139BC6-6AC0-7042-B2EB-14BBB8A4BC75
"Mr. Terrific
(Michael Holt)",Character,Arrow 403,The Spectre #54,Jun-97,N,John Ostrander,writer,Continuity,,,,98CCD0FC-DF41-984E-BACB-00651917DD69
,Character,,,,,Tom Mandrake,"pencils, inks",Continuity,,,,D1C01764-D0CC-B24F-A203-CD397BBDB326
,Character,,,,,Richard Corben,cover,WFH,,,,B36E445E-C639-5649-B062-BAE027C2632A
,Character,,,,,Carla Feeny,color,N/A,,,,706A9B37-BB6F-1241-9CA1-1B0B0DEF1833
Mr. Who,Character,Plastic Man,"More Fun Comics #73
""Mr. Who""",Nov-41,N,Gardner F. Fox,writer,Creator Recognition,,Deceased Creator recognition agreement with is with heirs.,,13882212-4346-8C4E-8AF8-419D0DAC734C
,Character,,,,,"Howard ""Hal"" Sherman","pencils, inks, cover",None,,,,715CA90A-BE07-0843-B27E-E1BE055BFC3D
Mr. Who,Character,Plastic Man,"World's Finest #31
""The Who Zoo Crimes""",Nov-47,N,George Papp,"pencils, inks",None,,Deceased,,DAFA0221-85A9-C144-9BC4-74EAB105C6BE
,Character,,,,,Jack Burnley,cover pencils,None,,Deceased,,88D5C1FF-4A16-C148-8670-95B5FC4D2759
,Character,,,,,Charles Paris,cover inks,None,,Deceased,,04FB69EA-70B4-3347-8148-0CEA2F3483C3
"Mr. Who
(""Czar"" Gargan)",Character,Plastic Man,"in Fawcett Comics:
The Marvel Family #22
""The Triple Threat""",Apr-48,N,Otto Binder,writer,None,,"See also: Fawcett Purchase Agreements
This character has never been published in DC Comics.",,0FF5B43C-A3F3-A545-A2B1-975103A5C688
,Character,,,,,Pete Costanza,"pencils, inks, cover",None,,,,D113085B-9431-BB46-8E2B-0CD05738D444
"Mr. Who
(Peter Wayne)",Character,Plastic Man,"in Fawcett Comics:
Bulletman #14
""Mr. Who""",Mar-46,N,Otto Binder,writer,None,,"See also: Fawcett Purchase Agreements
This character has never been published in DC Comics.",,3C1831FD-64B1-5B44-9823-26D72BC59F31
,Character,,,,,Jack Binder,"pencils, inks, cover",None,,,,676D4DFD-FC52-5A49-951F-8005543C044B
Mt. Pride Observatory,Location,Supergirl 203,Justice Society of America #1,Apr-91,N,Len Strazewski,writer,WFH,,,,C7B7BF87-844B-B245-B609-7CE386E1DADB
,Location,,,,,Rick Burchett,"pencils, inks",WFH,,,,CDC6530E-17B8-F94D-83D3-CADFAF02E627
,Location,,,,,Tom Lyle,cover,WFH,,,,30910E31-4164-7A4C-BF36-E6B6339B26AD
,Location,,,,,Thomas Ziuko,color,N/A,,,,5A36FACF-90D5-F245-B5C7-927A61F493B9
Mummer,Character,Gotham 420,"Adventure Comics #148
""Superboy Meets the Mummer""",Jan-50,N,Don Cameron,writer,None,,Deceased,,87AB8EF7-EE39-D846-939A-B1BA72B9AEA0
,Character,,,,,John Sikela,"pencils, inks",None,,Deceased,,FBFD0A14-04F2-8945-AF35-EF5394F79E2A
,Character,,,,,Al Plastino,cover,None,,Deceased,,DA2011AB-3F4F-9E41-81D1-96269E503BD2
"Murder of Crows
(Old Crow, Crows #1-5)",Property,Arrow 709,Batwoman #0,Nov-12,N,J.H. Williams III,"co-writer, pencils, inks, cover",WFH,2016,,,7C3BD5C0-A73C-6140-9975-338B0CC9976F
,Property,,,,,W. Haden Blackman,co-writer,WFH,2016,,,C5A6EFB9-0098-BE46-9224-CFAFE3078ABC
,Property,,,,,Dave Stewart,color,NA,,,,8185333B-663C-5742-B622-38285081DCB1
Mutant Leader,Character,Lego Batman,Batman: The Dark Knight Returns,Feb-86,N,Frank Miller,"writer, pencils, cover",Graphic Novel,,,,57974F67-CA89-3A48-A9E6-39436D578B9E
,Character,,,,,Klaus Janson,inks,WFH,,,,CB46A5C9-3F8E-144A-B60E-C1770AD04CF7
